,user_id,book_id,is_read,rating,is_reviewed
55243,141311,93569,0,0,0
56702,383833,307630,0,0,0
57204,317654,18805,0,0,0
57329,64724,19054,0,0,0
57425,74131,603967,0,0,0
57475,181667,39307,1,4,0
58007,368762,36258,1,5,0
59008,391639,506688,1,3,0
59730,138,14063,1,3,0
60007,258713,249867,0,0,0
60364,741279,64482,1,3,0
60842,76727,14812,0,0,0
61420,45919,14067,0,0,0
62442,355525,14067,1,4,0
62852,212252,18906,1,5,0
64726,83441,36258,0,0,0
64868,105452,1508,0,0,0
65334,82139,423,1,5,1
65453,120864,51923,0,0,0
66458,417473,51607,0,0,0
66678,289198,1368,0,0,0
67047,131000,1508,0,0,0
67723,108915,23055,0,0,0
67793,44332,1508,0,0,0
67856,95425,212326,1,4,0
67953,256007,16204,1,4,1
68323,107099,18600,0,0,0
68340,359980,14812,1,4,0
69134,120893,19054,0,0,0
69198,641294,1368,1,3,0
70473,103296,22465,0,0,0
70877,67861,362155,1,4,0
71424,81058,100287,1,4,0
71616,391198,1508,1,4,0
72474,151608,22460,0,0,0
73080,609880,1511829,1,5,0
73584,217349,844920,0,0,0
73661,390602,22465,1,5,0
74690,311748,100286,1,4,0
74991,273910,1368,0,0,0
75884,104461,1368,0,0,0
76464,338216,1368,0,0,0
76509,401702,439938,0,0,0
77578,204773,51600,1,4,0
78112,87858,54593,1,5,0
78277,411490,1368,0,0,0
78316,151533,1368,1,5,0
78713,67784,1368,0,0,0
78743,436589,17720,1,4,0
80486,379904,18805,1,4,0
81807,349303,163890,1,3,1
82154,221176,51600,1,3,0
82981,166718,236699,0,0,0
83527,287353,51104,0,0,0
85195,200,51104,0,0,0
86747,144261,79589,1,2,0
87467,172340,1368,0,0,0
87930,664411,14067,0,0,0
88066,144385,36475,0,0,0
89233,653199,1368,0,0,0
89630,499072,19054,1,5,0
90178,336636,14067,0,0,0
90368,208573,14067,0,0,0
91527,363640,423,0,0,0
92144,86419,144204,0,0,0
92589,117549,38116,0,0,0
92714,65609,1368,0,0,0
93204,18365,50621,0,0,0
93794,196415,44546,1,4,0
93980,160933,47620,0,0,0
94154,346391,18805,0,0,0
94566,319998,113671,1,5,0
95002,715442,14067,0,0,0
95022,110334,1368,1,0,0
95173,405985,1368,0,0,0
95795,144511,1368,1,5,0
96351,438117,16204,0,0,0
96803,71231,15943,0,0,0
97427,208162,423,1,5,0
97543,545638,79727,1,4,0
98258,367788,1508,1,0,0
99151,66808,6600,0,0,0
101297,360866,1368,1,5,0
101366,213107,921589,0,0,0
101682,54649,29395,0,0,0
101868,254103,423,1,4,0
103444,248564,103269,0,0,0
104519,134503,127040,1,4,0
104870,87387,1367,0,0,0
106123,247911,1508,0,0,0
107219,263221,47620,0,0,0
107466,36135,79727,0,0,0
107469,174407,19054,1,0,0
107572,129047,171724,0,0,0
108197,397773,79589,1,3,0
108695,58669,16204,0,0,0
109504,422454,1508,1,4,0
109587,189212,14067,1,4,0
110341,115621,401991,1,4,1
110902,345522,105077,0,0,0
110922,84310,24711,0,0,0
110940,341036,1508,0,0,0
111008,247822,346383,0,0,0
111466,137298,359788,1,0,0
111882,29094,1134947,0,0,0
112159,149103,58028,1,5,0
112285,249485,17720,1,4,0
112340,153776,278060,1,4,0
113039,381255,100286,1,3,0
113306,230951,212328,1,5,0
113787,88288,19534,0,0,0
113837,248985,21293,0,0,0
114139,766886,589629,1,5,1
115019,182486,19054,0,0,0
116375,288745,22460,0,0,0
117164,250943,168018,0,0,0
118150,151399,14067,1,4,0
119651,151103,51923,0,0,0
120188,611078,162886,0,0,0
120490,863311,106175,0,0,0
121757,65219,19534,0,0,0
121897,431829,18906,0,0,0
122035,190695,1368,0,0,0
122486,682574,18600,1,4,0
122791,109123,22465,1,3,0
123322,12652,22465,1,3,0
123368,288456,1368,0,0,0
123584,340388,6600,0,0,0
124528,235208,14067,1,3,0
124554,39923,39798,0,0,0
125573,73324,14063,1,5,0
126377,146971,14067,1,4,0
126907,162827,1508,1,5,1
129378,201031,14812,1,3,0
129551,589121,19534,1,3,0
129567,61395,1508,1,5,0
129735,41930,47620,0,0,0
130091,403962,19534,1,4,0
130474,37116,15719,0,0,0
130838,785082,1368,0,0,0
131002,436090,1368,1,0,0
131199,125135,1367,0,0,0
131735,375695,1238338,1,3,0
132276,458351,29399,1,0,0
132541,36231,48706,1,5,0
133110,176701,1508,1,5,0
133149,490201,1368,0,0,0
133645,777201,1368,0,0,0
134242,41085,51600,0,0,0
135643,311,74411,1,4,0
135801,311,1368,0,0,0
136207,143480,19534,0,0,0
136731,207134,113671,1,4,0
137276,208160,18805,1,5,1
137654,299963,51607,0,0,0
138705,397918,124334,1,5,1
138988,11222,64485,0,0,0
139222,293910,28669,1,5,0
139260,365118,423,1,4,0
139395,137988,1368,0,0,0
139938,132820,14067,0,0,0
141090,270092,19534,0,0,0
141738,255099,19534,1,3,0
141932,351042,200894,0,0,0
142880,118861,14067,1,5,0
143004,293639,17720,0,0,0
143253,183480,183708,0,0,0
143888,72397,150987,0,0,0
143971,650218,1368,0,0,0
144657,14242,1368,1,5,0
146268,588196,632210,1,4,0
147392,344970,22462,1,4,0
148562,347274,18805,0,0,0
148732,279993,1368,1,5,0
149463,434736,1368,1,3,0
149742,182041,1508,0,0,0
149980,445406,16204,1,5,0
150479,310073,423,1,3,0
150486,113970,168018,0,0,0
150547,352722,1368,1,3,0
151298,272927,210784,1,2,0
152145,605769,29399,1,4,0
152576,254971,47766,0,0,0
152801,323034,1368,0,0,0
153326,151062,113671,0,0,0
153824,171828,14812,1,5,0
155960,39167,39798,0,0,0
156546,212962,18805,0,0,0
156808,852527,451685,1,2,0
157536,358022,1368,1,4,1
157887,52264,1368,1,3,0
157906,31014,1508,0,0,0
158338,59561,38424,0,0,0
158376,80008,113671,0,0,0
158390,37142,95670,1,3,0
158750,194013,14812,0,0,0
158812,692410,14067,1,0,0
158957,389058,702046,1,5,0
159218,355,1368,1,4,0
159241,394827,1367,0,0,0
160803,93172,423,1,4,0
160991,202050,1368,1,5,0
161059,325898,235069,1,0,0
161947,700168,1368,0,0,0
162160,349910,1367,0,0,0
162227,389024,24530,0,0,0
162764,307440,1658285,0,0,0
162869,265067,29395,0,0,0
163165,274604,47766,1,4,0
164339,44966,1368,1,3,0
164576,167942,14812,1,5,0
164841,363177,423,1,4,0
164851,397030,161712,0,0,0
165040,289236,832338,1,0,0
165864,599656,14067,1,4,0
165976,108334,75644,1,3,0
166459,199234,59854,0,0,0
167012,428557,17720,0,0,0
167370,364574,105077,1,3,1
168045,165694,1368,0,0,0
168253,298478,1368,1,5,0
168670,59560,131093,1,4,0
168805,257923,18805,0,0,0
168879,403825,1368,0,0,0
170741,420213,597742,0,0,0
171010,155808,21293,1,4,0
171151,301256,1368,0,0,0
174049,286564,100286,1,4,0
174420,198276,19534,1,3,0
174628,442112,1368,0,0,0
175088,398382,423,1,3,0
175160,436024,1368,0,0,0
175845,365927,1508,1,5,1
176133,106186,1508,0,0,0
176341,115929,1508,0,0,0
176469,108721,1508,1,5,1
176728,765001,14067,1,0,0
177492,212504,1508,0,0,0
177730,180512,423,0,0,0
178122,58295,423,1,4,1
178158,431925,14067,0,0,0
178275,99322,1368,0,0,0
179118,191031,115064,1,5,0
179517,244174,14067,1,3,0
180749,165380,19534,1,0,0
180802,435852,39307,0,0,0
180958,107205,824660,0,0,0
181427,107277,423,1,4,0
181654,206315,16204,1,3,0
181738,405,1368,0,0,0
181850,612459,1368,1,5,0
182672,785026,583759,0,0,0
182943,176386,4429,1,5,0
183038,340907,1368,0,0,0
183623,412,1368,0,0,0
184031,311642,19534,0,0,0
184160,344574,51923,0,0,0
184654,199823,372585,1,4,0
184732,415,93569,1,4,0
185010,309622,790551,0,0,0
185609,203314,423,0,0,0
185813,207915,1368,0,0,0
186758,188438,51104,1,4,0
187663,259674,1368,1,3,0
187840,88506,423,1,2,0
189085,303553,212328,0,0,0
190276,570388,1508,0,0,0
190515,137595,423,0,0,0
191525,364547,1508,1,5,0
192155,660007,14067,0,0,0
192602,575550,14067,1,4,0
193607,324291,1368,1,5,0
193830,804036,1368,0,0,0
194214,171037,1368,1,4,0
194281,161276,14067,1,4,0
194682,306093,1508,0,0,0
196137,118128,1368,0,0,0
196516,126326,14067,1,4,0
196836,28981,14067,0,0,0
197739,791199,1368,1,4,0
199598,157271,22460,1,3,0
199789,264930,16204,0,0,0
202496,354730,16204,1,3,1
202566,140907,1368,1,0,0
203075,37031,1508,0,0,0
203933,373285,113671,1,5,0
204482,626552,423,1,5,0
204751,165700,1368,0,0,0
205013,114662,103269,1,5,1
205716,192409,1368,1,5,0
205810,29790,14063,1,3,0
205902,308478,1508,1,4,0
206475,334014,930588,0,0,0
206586,641049,1368,1,0,0
208883,129289,1508,1,3,0
209683,785901,1368,1,5,0
210371,88268,1368,0,0,0
210769,358806,17720,0,0,0
211392,217804,1368,0,0,0
212770,218222,39307,0,0,0
212883,469,103844,1,3,1
213526,364997,423,0,0,0
214557,471,22465,1,5,0
214828,163206,53774,1,4,0
214854,320515,623490,0,0,0
215372,12148,1368,0,0,0
215750,415709,14067,0,0,0
216134,227327,14067,1,2,0
216532,115713,23012,1,4,0
216620,309695,1368,1,5,0
217402,72944,24711,0,0,0
217583,316628,19534,0,0,0
217636,113236,621285,1,4,0
217823,137798,13892,0,0,0
218629,387034,20059,0,0,0
218708,239933,19534,1,4,0
218993,294433,1368,1,5,0
219492,284344,14067,1,4,0
219669,42049,1368,1,4,0
220345,97820,1508,1,4,0
220380,277465,47620,0,0,0
220789,772738,29395,1,5,0
220959,484,59854,0,0,0
221281,184407,350642,0,0,0
221744,258447,1368,0,0,0
222084,19898,423,1,5,0
222695,51976,16204,0,0,0
223610,12103,47620,0,0,0
223732,280461,37264,0,0,0
223798,173949,1368,1,0,0
224763,650379,1368,1,5,0
225962,193022,147842,1,5,0
226057,712123,14812,1,0,0
226443,247094,102241,0,0,0
226510,271692,1367,0,0,0
226705,168037,47620,1,4,0
226845,334552,5346,1,4,0
228082,234738,403648,1,0,0
228790,235036,512910,0,0,0
228976,290392,47620,0,0,0
229325,136673,18600,0,0,0
229964,259691,1368,0,0,0
230407,138665,100284,1,4,0
231294,262060,848780,0,0,0
231308,80325,1368,1,2,0
232692,23237,1368,0,0,0
232790,61680,125691,1,3,1
234616,40732,79727,1,5,0
234760,63563,51600,1,2,0
235364,214938,76748,0,0,0
235650,63962,1508,1,3,0
236057,237233,1368,1,0,0
236296,69117,14063,0,0,0
236853,153822,36254,0,0,0
237073,67222,1139703,1,4,1
237283,46538,1368,1,0,1
237420,45360,216543,1,5,1
237452,814100,1368,1,4,0
237550,573850,14812,1,4,1
238736,433564,14063,1,3,0
238826,512,19534,1,3,0
239153,402974,18805,1,5,0
239696,360372,17125,0,0,0
240143,271184,1368,1,4,1
240499,359483,14812,0,0,0
240653,309814,257651,1,4,0
243233,188550,51600,0,0,0
243436,240433,1368,0,0,0
243981,77078,440674,0,0,0
245531,75176,47763,0,0,0
245859,78883,1508,1,4,0
246659,80386,1367,1,3,0
246866,259988,238840,0,0,0
246955,328194,323707,0,0,0
247491,293305,147842,0,0,0
247741,66863,12067,0,0,0
248970,288990,59851,1,0,0
250595,124467,14067,1,2,0
251684,66439,18805,1,5,1
252227,343908,976293,0,0,0
252246,35247,1508,0,0,0
252441,20664,845610,0,0,0
252890,257650,1508,1,4,0
253070,287266,423,1,5,0
253421,279867,14067,0,0,0
253882,861885,423,1,5,0
255021,452574,14067,1,3,0
255068,222780,22460,0,0,0
255405,277500,18805,0,0,0
256488,310738,47620,1,3,0
256814,213191,599687,0,0,0
257121,702697,1508,0,0,0
257400,832318,14067,1,5,0
258493,420847,296750,1,4,0
258670,236762,18805,0,0,0
258707,340834,51107,0,0,0
259673,415249,48002,0,0,0
259732,355600,36258,0,0,0
259907,680960,18600,0,0,0
259911,355880,288848,1,3,0
259972,271650,14063,0,0,0
260521,356216,1508,1,5,0
260829,162646,1368,1,0,0
261421,439609,1508,0,0,0
262382,173435,194738,1,4,0
262493,47716,14067,1,3,0
262497,221532,1368,0,0,0
263424,224398,64485,0,0,0
263555,159050,14812,1,3,1
263572,88647,1368,0,0,0
263681,247526,1368,0,0,0
264455,714241,50621,0,0,0
264488,242377,17720,1,3,0
265958,33456,223349,0,0,0
266692,325353,95670,0,0,0
266917,355357,14812,1,4,0
266979,429610,1368,1,0,0
267025,127378,23012,0,0,0
267710,315563,21293,0,0,0
268196,230622,249508,0,0,0
268839,307850,1368,0,0,0
268950,236704,1368,1,4,0
269124,517043,1368,0,0,0
269862,323783,59854,0,0,0
270862,774224,1368,0,0,0
270994,41685,1368,1,4,0
271078,200542,18600,1,0,0
272253,341221,39798,0,0,0
272726,75071,36258,0,0,0
273166,107559,36258,1,4,0
273416,22980,18805,1,3,0
273479,383265,1367,0,0,0
273598,101141,103269,0,0,0
273753,237605,19534,0,0,0
274587,347839,27342,0,0,0
275093,708442,423,1,5,0
275205,257651,18805,0,0,0
276574,50035,39798,0,0,0
276795,56578,423,1,3,0
277067,257294,1368,1,5,0
277690,72631,1368,1,5,0
278847,80178,321572,1,5,0
279729,440928,95670,1,5,0
279835,622976,28669,0,0,0
280231,19289,102241,0,0,0
280952,319903,249508,0,0,0
281288,112701,1508,1,5,0
281559,59922,15719,0,0,0
281611,599,19534,1,5,0
281819,88865,79727,0,0,0
282319,412826,105077,1,5,0
282535,12246,1368,1,3,0
283232,124629,1508,0,0,0
283455,157833,10533,0,0,0
283668,409572,423,1,3,0
284183,90550,17720,0,0,0
284399,195235,14067,1,5,0
285394,419908,683154,1,5,1
285435,215269,17125,1,5,0
286302,129973,1368,1,4,0
286956,229176,423,1,3,0
286986,683663,1508,1,4,0
287159,311045,1368,0,0,0
288110,351834,1508,1,5,0
288650,340151,37264,1,4,0
288687,183851,24719,1,5,0
289036,117695,1368,1,0,0
289084,63157,22465,0,0,0
289773,13416,39307,1,4,0
290862,374722,1368,1,5,1
290943,57110,1508,0,0,0
291026,127864,1368,0,0,0
291641,148249,1368,1,4,0
291725,53180,264929,0,0,0
291743,319196,1368,0,0,0
292268,349924,1368,1,0,0
292372,305812,113671,0,0,0
293517,301054,51104,1,2,0
293696,211634,36258,0,0,0
293800,159909,34540,1,4,1
293850,119843,1508,0,0,0
294078,232551,18600,0,0,0
294934,102611,1508,1,0,0
296219,121225,14067,0,0,0
296774,702015,1368,0,0,0
296829,66674,200892,1,3,0
297129,129815,51600,1,5,0
297480,392116,36258,0,0,0
298074,199079,100059,0,0,0
298390,138324,36253,0,0,0
298609,196553,212328,1,5,0
298802,252404,19534,1,4,1
298830,29325,100284,0,0,0
299035,165687,59854,1,4,0
299245,65412,1368,0,0,0
300438,359399,27342,0,0,0
300512,20330,1048051,0,0,0
300642,234707,1508,0,0,0
300686,627854,961030,0,0,0
300744,97309,19054,1,5,0
301768,166166,111532,1,5,0
301852,432843,14063,0,0,0
301950,236492,1508,1,4,1
302546,411083,51104,0,0,0
303062,173307,307631,1,4,0
303182,384259,42527,1,4,0
304288,303748,93569,1,0,0
304538,103137,19534,0,0,0
305796,198564,39307,1,5,0
306461,157844,197263,1,5,0
306479,248749,51107,1,4,0
307314,234939,307630,1,3,0
307784,439107,1246802,1,4,1
308368,426683,14067,1,4,0
309297,394179,1075489,1,4,0
309794,124550,100287,0,0,0
309979,48804,22465,0,0,0
310246,127612,1368,1,5,0
310645,84073,212324,1,3,0
311157,272727,1368,1,2,0
311353,649,36258,0,0,0
311498,160355,36258,0,0,0
312101,864472,17720,0,0,0
312414,396514,53774,0,0,0
312851,32662,19534,1,5,0
312934,120696,14067,1,5,0
313271,10860,423,1,3,0
313893,330226,14812,1,4,0
314447,519767,14067,1,5,0
315430,208193,14812,0,0,0
316122,208805,587315,0,0,0
316236,587762,1508,1,5,0
316404,133145,1368,1,4,0
316844,148598,20059,0,0,0
317212,774366,1368,1,5,0
317620,66873,95670,1,5,1
317709,108019,287497,0,0,0
318575,111120,51107,1,3,0
318799,291865,14812,1,4,0
318922,325788,1435389,0,0,0
318989,183481,19054,1,5,0
319466,576987,14067,1,3,0
319662,252029,37264,0,0,0
319812,227676,161395,1,1,0
321221,204554,269670,1,3,0
322262,108488,4422,0,0,0
322276,310734,22465,1,4,0
322711,354139,1368,1,4,0
323451,79907,1368,1,0,0
324230,85866,1529315,0,0,0
324258,320284,36258,1,5,1
324467,296084,36253,0,0,0
324530,357856,1368,0,0,0
324607,144607,22465,1,0,0
324942,169779,1368,1,5,0
325076,409979,24719,0,0,0
325243,83097,1368,1,5,0
326405,45856,14067,0,0,0
327060,66434,1368,1,5,1
327454,49698,100286,1,3,0
327768,210041,51104,1,3,1
327917,411168,58028,1,4,1
327925,100801,65836,1,5,0
327959,133615,123729,0,0,0
328195,174254,1368,1,4,0
329458,69181,162186,0,0,0
329757,283711,19054,0,0,0
330367,404757,17720,1,5,0
330767,150778,59854,1,5,0
330800,29056,423,1,5,0
332613,223600,37264,0,0,0
332622,130650,1368,1,3,0
333165,273249,451685,1,4,0
333594,433069,1368,1,4,0
333981,13083,50621,0,0,0
334033,394727,17125,0,0,0
334148,87743,36258,1,4,0
334695,191656,18600,1,2,0
335033,425281,423,1,4,0
335202,10077,5894,0,0,0
335297,373938,1508,0,0,0
335843,182091,22465,1,0,0
336011,757964,19053,1,5,0
336089,416126,22462,1,3,0
336222,636320,1368,0,0,0
336376,407239,719761,0,0,0
336499,306478,51600,1,5,0
336717,57034,19534,1,3,0
336722,694,1368,0,0,0
337289,376798,1368,0,0,0
337812,223085,17720,0,0,0
338747,271927,1508,1,0,0
339346,215449,50621,1,4,1
339962,142874,106175,0,0,0
340644,262743,36258,1,4,1
340904,137142,1368,0,0,0
342509,372171,100287,1,2,0
342696,764085,1508,0,0,0
344516,284101,1508,0,0,0
344637,494544,14067,1,3,0
344786,84253,83000,0,0,0
345784,292893,249508,0,0,0
346133,103861,18805,0,0,0
346753,294129,216545,1,0,0
346960,231494,51607,0,0,0
347020,520899,1368,1,5,1
348418,330274,22208,0,0,0
348902,271242,198361,1,5,0
349621,77807,1368,0,0,0
349654,365753,1368,1,4,0
350094,429045,783971,1,4,0
350128,175400,423,1,3,0
350881,134970,16204,0,0,0
350918,329568,1368,0,0,0
350925,167433,38116,0,0,0
351363,217478,269677,0,0,0
354435,733,1508,0,0,0
354537,658346,36258,0,0,0
354734,265461,1386654,1,5,0
355029,292671,64482,1,2,0
355032,423458,1368,1,3,0
355260,29163,39798,0,0,0
356963,263126,99984,0,0,0
358016,252266,14067,1,0,0
358509,424739,22307,0,0,0
359389,128195,59854,1,3,0
359567,310885,36258,1,3,0
361047,311521,307631,0,0,0
364873,104634,48002,1,4,1
364908,326726,74534,1,5,0
364984,672569,1508,1,5,0
365420,551284,14067,1,4,0
366843,152963,14812,0,0,0
366982,70715,1368,1,4,0
367220,534133,17720,1,3,0
367510,24843,10530,0,0,0
370211,763,36258,0,0,0
370339,151609,47766,0,0,0
370746,323782,314683,1,0,1
373252,81341,14067,0,0,0
373400,40875,910576,0,0,0
374388,204329,90091,1,4,0
374757,776,17720,0,0,0
375180,386585,1508,0,0,0
375692,40299,423,1,3,0
376571,381468,634660,0,0,0
376601,273621,93569,0,0,0
376644,187667,1508,0,0,0
377409,780,152687,0,0,0
377455,255531,123729,0,0,0
377674,210622,1368,0,0,0
378063,295590,640166,1,1,0
378316,56372,1368,0,0,0
379117,437281,14063,1,4,0
379519,82671,5894,0,0,0
379963,74903,1368,0,0,0
380255,256535,423,0,0,0
380597,53052,1368,1,4,1
380760,254878,59854,1,4,0
381007,176868,1508,0,0,0
381093,310213,86530,1,2,0
381149,411404,19534,1,5,0
381901,371687,1368,1,5,0
382250,25810,19534,0,0,0
382761,381014,14812,0,0,0
384968,32243,1508,0,0,0
385191,63509,50621,0,0,0
386411,85536,3075,0,0,0
386761,430957,1368,0,0,0
387148,13649,14812,0,0,0
387530,122271,1163220,1,4,0
388097,442440,23055,0,0,0
388553,375687,634660,0,0,0
388711,196151,19534,0,0,0
388814,240577,105077,1,4,1
388917,222360,49254,0,0,0
388979,319618,1368,1,5,0
389103,259111,18600,0,0,0
389859,402780,1368,0,0,0
390282,257364,14067,1,4,0
390347,448503,111007,0,0,0
390820,119567,14812,0,0,0
391220,281060,131093,0,0,0
391350,345576,286837,0,0,0
391454,175441,423,1,2,0
391518,152265,566688,1,4,0
392017,779626,1368,0,0,0
392497,253828,296750,0,0,0
393062,273297,19054,0,0,0
393133,395119,16204,0,0,0
393228,77449,14812,0,0,0
394685,277641,1368,1,5,0
394823,495316,14067,1,4,0
395349,219547,14812,0,0,0
395395,295277,140998,1,4,0
395401,374065,1368,1,4,0
395621,77219,1508,1,5,0
396317,15919,1508,0,0,0
396671,281721,1508,1,5,0
397018,122734,211184,0,0,0
397112,339276,1508,0,0,0
397390,272800,36258,0,0,0
398184,196486,36258,1,4,0
399543,632955,14067,0,0,0
399672,551904,137153,0,0,0
400272,34509,1368,0,0,0
400705,379556,22465,1,3,0
401110,248598,16204,0,0,0
401153,67716,1368,1,3,0
401234,164544,403648,0,0,0
401248,275721,1508,0,0,0
401551,192996,22460,0,0,0
401850,319738,24530,0,0,0
403002,146601,1368,0,0,0
403464,98026,11219,1,3,0
403586,178407,1368,0,0,0
404162,233963,1508,0,0,0
404510,81372,37264,0,0,0
404787,258952,1508,0,0,0
404954,421774,423,1,3,0
404969,106096,39307,1,5,0
404994,278417,404020,0,0,0
405522,150117,1508,1,5,0
406036,207641,39795,0,0,0
406055,404306,423,1,3,0
406245,283061,17720,1,4,0
406601,90157,1134084,1,3,1
406802,405075,398512,1,5,1
407437,204839,18805,1,4,0
407551,246501,14067,1,3,0
407768,396294,14063,1,4,0
407938,653081,1368,0,0,0
407963,296156,1368,0,0,0
408440,105106,1086286,0,0,0
408485,236344,11219,1,5,0
408566,84078,19534,1,4,1
408590,22863,34540,0,0,0
408649,840,1368,1,5,0
408788,392850,96553,0,0,0
409384,208513,34543,1,4,0
409937,155922,39307,1,5,0
410548,68695,14067,0,0,0
411279,511293,14067,0,0,0
411581,310068,39307,1,5,0
412532,642099,1098295,1,3,0
413129,399641,17720,1,4,0
413639,123373,38116,0,0,0
413815,87001,19534,1,5,0
414776,746403,14067,1,5,0
415251,401785,1508,0,0,0
415764,239588,1368,0,0,0
415800,155988,10533,1,5,1
416701,166301,515757,0,0,0
418335,286479,14812,0,0,0
418505,236898,287140,1,5,0
418726,188931,1508,0,0,0
419235,479774,14067,0,0,0
420426,33502,1275893,1,4,0
420757,871,147842,1,5,0
421060,295976,17125,0,0,0
421222,70247,39795,0,0,0
423048,39072,19534,1,4,0
423383,182103,183222,1,2,0
423665,39989,403648,0,0,0
424055,181806,14067,1,5,0
425502,818677,1368,1,3,0
425650,96838,17720,1,4,0
426162,524639,14067,1,4,0
427093,44547,36258,0,0,0
428091,438719,307631,1,4,0
428173,124910,1508,1,2,1
428934,371448,1368,1,5,0
429142,216908,36258,0,0,0
429911,315816,1368,0,0,0
430210,43459,1368,0,0,0
431390,101105,253853,0,0,0
431449,329401,423,1,5,1
432014,20474,103269,0,0,0
432572,335289,1368,1,5,0
432799,302606,1368,1,4,0
432974,393893,423,1,4,0
434065,252357,14812,1,3,0
434175,298295,1368,0,0,0
434745,291168,141604,0,0,0
435225,332982,216548,1,4,0
436124,330264,151392,1,4,0
436342,245750,36258,0,0,0
436394,198430,47081,1,5,0
436472,907,423,0,0,0
437214,339532,317518,0,0,0
437386,88781,47763,1,0,1
437407,62439,39307,1,3,0
438225,321411,873926,1,3,0
438415,79133,23055,0,0,0
439033,350600,18600,0,0,0
439233,149689,36258,0,0,0
439423,194603,1368,1,5,1
439431,130294,53774,0,0,0
439489,126773,28669,1,5,0
440195,120870,98243,0,0,0
440196,144786,11219,0,0,0
440341,112293,19534,1,4,1
440634,389004,75579,1,0,0
440970,79913,58930,1,4,0
442364,294610,75579,0,0,0
442663,429362,14812,0,0,0
443054,178894,423,1,4,0
443299,215357,59854,0,0,0
443431,96597,17720,0,0,0
